Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
0x373ce575a002b343ff72739afbd441af031adb4f0c2d7c21928b1228c075fded,Success,Transfer,23875393,2025/11/25 11:03,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0xeff09f2e6852a68054a1685f80d3b63024c38ad7,,"50,000",$939.28 ,Irys(IRYS)
0x5f806ecc8a96b9a6540c4ae298338dcdf5cdb6c5142b28c7c56e056935cd0c1f,Success,Execute302,23875390,2025/11/25 11:02,0x0000000000000000000000000000000000000000,Null: 0x000...000,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,"50,000",$939.28 ,Irys(IRYS)
0x7710d3e3e80932c7678a37736c4ddbb51b5187dee220a4a8eef8b00974572f94,Success,Transfer,23875386,2025/11/25 11:02,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0xeff09f2e6852a68054a1685f80d3b63024c38ad7,,"15,000",$281.79 ,Irys(IRYS)
0x921051ede8dbc026f78f74e159bd6b7b9b4f1814b30c17c7eca91eb02e00411e,Success,Execute302,23875384,2025/11/25 11:01,0x0000000000000000000000000000000000000000,Null: 0x000...000,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,"15,000",$281.79 ,Irys(IRYS)
0x09bd7c78bcc1fb49e5b268ab781141f850167fc8ea83535b73d6a07e84d81988,Success,Transfer,23875348,2025/11/25 10:54,0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,"2,000","$1,998.10 ",Tether USD(USDT)
0x3fefbdff4baab9eb0d12625d1cda3fdde626e5f2405462f1dbe109d4fb230866,Success,Forward ERC20,23869161,2025/11/24 13:58,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0x337685fdab40d39bd02028545a4ffa7d287cc3e2,Mayan: Forwarder,"1,000.87","$1,000.54 ",USDC(USDC)
0x90cec5164f0d3f74638442362f79939c12193a530f1a8e009c32e340b504e8bb,Success,Deposit For Burn,23867894,2025/11/24 9:41,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0x2ccf230467fe7387674baa657747f0b5485c7fec,,"3,000","$2,999.00 ",USDC(USDC)
0x5fe12741db77e6fcef3fce37ab68c5bdb2729805fc1acf67c67291cb7da37378,Success,Swap,23867798,2025/11/24 9:22,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,KyberSwap: Aggregator Executor V3,29,$28.99 ,USDC(USDC)
0x38c5faab8545a4d53456f6518ff19722ce6402a62cd1a3c5539035abe063a611,Error in Internal Txn : execution reverted,Execute,23867796,2025/11/24 9:21,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,Binance: Hot Wallet 34,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,"4,029.87","$4,028.53 ",USDC(USDC)
0xe40c1db3c0e8ceff2522721b27a30f07933cc4b95fc56cefcabd7229800ffacd,Success,Transfer,23833473,2025/11/19 13:38,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0xbd568ab063b7bf8072d44e760959edac79696e30,Binance Dep: 0xBd568ab063B7BF8072D44E760959EDaC79696E30,"3,421.75","$3,420.61 ",USDC(USDC)
0x0a4dba6e677791784ed3524d65d28f2b94a8697127eb43f607e4148f1f278ad1,Success,Send,23833043,2025/11/19 12:11,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,0x0000000000000000000000000000000000000000,Null: 0x000...000,"5,933.01",$175.61 ,GAIB(GAIB)
0x1afee0c6bf1b7d3ec0d433e207af1ca92a72da256f16c45119bf6e5d1322f542,Success,Swap,23833040,2025/11/19 12:10,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,KyberSwap: Aggregator Executor V3,0xf8a4dd29b3c864c1a99d835bcce3ded43a6b8cbf,,"5,933.01",$175.61 ,GAIB(GAIB)
